SiteId,SiteName,PlateName,SiteUrl
58282,联想火炬隐形冠军,zol博客,http://blog.zol.com.cn/guhao/
58283,穷人的硬件博客,zol博客,http://blog.zol.com.cn/celeron123/rss
58284,独步西风,zol博客,http://blog.zol.com.cn/cjg1823/rss/
58285,N_Fan NEO,zol博客,http://blog.zol.com.cn/neodj/rss
58286,神州龙,zol博客,http://blog.zol.com.cn/shenzhoulong/rss/
58288,39du王晓,zol博客,http://blog.zol.com.cn/wxwangxiaowx/rss/
58291,本本空间,zol博客,http://blog.zol.com.cn/cheers2008/rss
