SiteId,SiteName,PlateName,SiteUrl
87130,大话银行,新浪论坛,http://club.finance.sina.com.cn/forumdisplay.php?fid=22
87137,旅游图库,新浪论坛,http://club.travel.sina.com.cn/forum-21-1.html
87144,京贸国际城,新浪论坛,http://bj.bbs.house.sina.com.cn/forum-27116-1.html
87146,骏捷,新浪论坛,http://bbs.auto.sina.com.cn/27/195/forum-195-1.html
87147,股指期货,新浪论坛,http://club.finance.sina.com.cn/forumdisplay.php?fid=32
87148,拜仁慕尼黑,新浪论坛,http://forum.sports.sina.com.cn/forum-23-1.html
87150,航空模型,新浪论坛,http://club.mil.news.sina.com.cn/forum-16-1.html
87152,RAV4车友会,新浪论坛,http://bbs.auto.sina.com.cn/41/104/forum-104-1.html
87154,灌水专区(威海),新浪论坛,http://weihai.bbs.house.sina.com.cn/forum-20630-1.html
87157,统建锦绣江南(武汉),新浪论坛,http://wh.bbs.house.sina.com.cn/forum-2937-1.html
87163,热议堂,新浪论坛,http://bbs.qcyn.sina.com.cn/forum-3-1.html
87168,惠生活,新浪论坛,http://bbs.qcyn.sina.com.cn/forum-4-1.html
87173,锋范车友会,新浪论坛,http://bbs.auto.sina.com.cn/23/100/forum-100-1.html
87174,奇骏,新浪论坛,http://bbs.auto.sina.com.cn/19/175/forum-175-1.html
87178,养护知识,新浪论坛,http://bbs.auto.sina.com.cn/55/forum-55-1.html
87183,帕萨特,新浪论坛,http://bbs.auto.sina.com.cn/32/206/forum-206-1.html
87184,吉利,新浪论坛,http://bbs.auto.sina.com.cn/28/forum-28-1.html
87189,玩转云南,新浪论坛,http://bbs.qcyn.sina.com.cn/forum-6-1.html
87196,驴友云南,新浪论坛,http://bbs.qcyn.sina.com.cn/forum-7-1.html
87203,港澳台地区,新浪论坛,http://bbs.auto.sina.com.cn/68/forum-68-1.html
87204,广东,新浪论坛,http://bbs.auto.sina.com.cn/63/126/forum-126-1.html
87205,围棋论坛,新浪论坛,http://forum.sports.sina.com.cn/forum-40-1.html
87211,F3,新浪论坛,http://bbs.auto.sina.com.cn/12/152/forum-152-1.html
87212,复地东湖国际(武汉),新浪论坛,http://wh.bbs.house.sina.com.cn/forum-2928-1.html
87226,天津房产论坛,新浪论坛,http://tj.bbs.house.sina.com.cn/forum-1714-1.html
87229,一汽吉林,新浪论坛,http://bbs.auto.sina.com.cn/47/forum-47-1.html
87233,湖北,新浪论坛,http://bbs.auto.sina.com.cn/64/131/forum-131-1.html
87236,和悦车友会,新浪论坛,http://bbs.auto.sina.com.cn/50/259/forum-259-1.html
87239,投资理财(上海房产),新浪论坛,http://sh.bbs.house.sina.com.cn/forum-2058-1.html
87245,浙江,新浪论坛,http://bbs.auto.sina.com.cn/62/124/forum-124-1.html
87248,九洲湾景汇(沈阳),新浪论坛,http://sy.bbs.house.sina.com.cn/forum-16800-1.html
87249,速腾,新浪论坛,http://bbs.auto.sina.com.cn/40/114/forum-114-1.html
87250,沈阳房产论坛,新浪论坛,http://sy.bbs.house.sina.com.cn/forum-32274-1.html
87251,港股基础知识,新浪论坛,http://club.finance.sina.com.cn/forumdisplay.php?fid=3
87255,森雅,新浪论坛,http://bbs.auto.sina.com.cn/47/238/forum-238-1.html
87256,河南,新浪论坛,http://bbs.henan.sina.com.cn/auto/forum-18-1.html
87264,G3(F5),新浪论坛,http://bbs.auto.sina.com.cn/12/153/forum-153-1.html
87268,魔力宝贝2,新浪论坛,http://bbs.games.sina.com.cn/forum-24-1.html
87270,福建,新浪论坛,http://bbs.fj.sina.com.cn/auto/forum-99-1.html
87272,北京,新浪论坛,http://bbs.auto.sina.com.cn/61/69/forum-69-1.html
87273,仙剑奇侠传Online,新浪论坛,http://bbs.games.sina.com.cn/forum-22-1.html
87274,大连实德,新浪论坛,http://forum.sports.sina.com.cn/forum-62-1.html
87279,黑龙江,新浪论坛,http://bbs.auto.sina.com.cn/65/135/forum-135-1.html
87282,辽宁,新浪论坛,http://bbs.auto.sina.com.cn/65/134/forum-134-1.html
